fixture_id,date,referee,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,home_cards,away_cards,total_cards
864230,2022-08-04 00:00:00+00:00,Ó. Macías,FC Juarez,Atletico San Luis,1,1,8,2,10,3,1,4
864148,2022-08-05 02:00:00+00:00,F. Guerrero,Atlas,Club Queretaro,3,1,5,5,10,3,6,9
864150,2022-08-06 02:05:00+00:00,J. Camacho,Mazatlán,Guadalajara Chivas,2,1,4,4,8,6,6,12
864151,2022-08-07 00:05:00+00:00,M. Ortíz,Monterrey,Leon,5,1,0,0,0,0,0,0
864153,2022-08-07 02:05:00+00:00,Ó. Macías,Santos Laguna,Cruz Azul,4,0,6,6,12,0,0,0
864154,2022-08-07 17:00:00+00:00,C. Ramos,Toluca,Club Tijuana,3,1,12,4,16,1,6,7
864155,2022-08-07 21:00:00+00:00,E. Galván,Atletico San Luis,Necaxa,1,2,5,3,8,1,2,3
864156,2022-08-07 23:05:00+00:00,D. Quintero,CF Pachuca,Tigres UANL,2,0,5,4,9,3,4,7
864152,2022-08-08 01:05:00+00:00,L. Santander,Club America,FC Juarez,2,1,3,2,5,2,1,3
864157,2022-08-12 02:00:00+00:00,E. Miranda,Club Queretaro,Atletico San Luis,1,1,7,4,11,3,0,3
864158,2022-08-13 02:00:00+00:00,G. Pacheco,Necaxa,Monterrey,1,2,2,6,8,2,2,4
864159,2022-08-13 02:05:00+00:00,L. Santander,Club Tijuana,Puebla,3,3,6,4,10,1,0,1
864161,2022-08-13 22:00:00+00:00,E. Galván,Leon,Mazatlán,0,3,9,1,10,1,4,5
864162,2022-08-14 00:05:00+00:00,A. Escobedo,U.N.A.M. - Pumas,Club America,0,3,4,5,9,2,0,2
864163,2022-08-14 02:05:00+00:00,M. Ortíz,Guadalajara Chivas,Atlas,1,1,5,3,8,3,6,9
864164,2022-08-14 22:00:00+00:00,F. Hernández,Cruz Azul,Toluca,2,3,7,4,11,6,2,8
864165,2022-08-15 00:05:00+00:00,D. Montaño,Tigres UANL,Santos Laguna,2,0,5,3,8,5,6,11
864166,2022-08-17 00:00:00+00:00,A. Escobedo,Atlas,FC Juarez,0,1,8,4,12,1,6,7
864167,2022-08-17 01:00:00+00:00,L. Santander,Mazatlán,Club Queretaro,1,1,3,6,9,1,2,3
864168,2022-08-17 02:05:00+00:00,F. Guerrero,Puebla,Necaxa,2,2,6,5,11,1,1,2
864169,2022-08-18 00:00:00+00:00,D. Quintero,Toluca,Monterrey,1,1,10,2,12,2,3,5
864170,2022-08-18 02:05:00+00:00,D. Montaño,Cruz Azul,Club Tijuana,1,2,8,3,11,0,2,2
864171,2022-08-18 02:05:00+00:00,C. Ramos,CF Pachuca,Club America,0,3,5,5,10,5,2,7
864172,2022-08-19 00:05:00+00:00,V. Cáceres,Santos Laguna,Leon,2,1,6,3,9,1,4,5
864173,2022-08-19 02:05:00+00:00,Ó. Macías,Atletico San Luis,U.N.A.M. - Pumas,3,2,3,9,12,3,3,6
864175,2022-08-20 00:00:00+00:00,Ó. Mejía,Necaxa,Guadalajara Chivas,0,4,4,4,8,2,0,2
864177,2022-08-20 22:00:00+00:00,G. Pacheco,Club Queretaro,Club Tijuana,2,0,6,5,11,4,3,7
864176,2022-08-21 02:05:00+00:00,D. Quintero,FC Juarez,Mazatlán,1,1,7,7,14,5,3,8
864178,2022-08-21 00:05:00+00:00,C. Ramos,Atlas,Puebla,1,1,6,2,8,3,4,7
864179,2022-08-21 00:05:00+00:00,F. Guerrero,Monterrey,Tigres UANL,0,0,7,4,11,3,2,5
864180,2022-08-21 02:05:00+00:00,L. Santander,Club America,Cruz Azul,7,0,2,2,4,1,3,4
864181,2022-08-21 17:00:00+00:00,M. Ortíz,U.N.A.M. - Pumas,Santos Laguna,1,5,8,4,12,0,0,0
864182,2022-08-21 22:00:00+00:00,D. Montaño,Atletico San Luis,Toluca,1,0,8,5,13,3,1,4
864183,2022-08-22 00:05:00+00:00,I. Lopez,CF Pachuca,Leon,1,0,8,4,12,3,8,11
864231,2022-08-24 00:05:00+00:00,L. Santander,Guadalajara Chivas,Monterrey,1,0,5,9,14,1,2,3
864232,2022-08-24 02:05:00+00:00,V. Cáceres,Club Queretaro,Club America,0,1,4,9,13,0,2,2
864234,2022-08-25 02:05:00+00:00,Ó. Mejía,U.N.A.M. - Pumas,Tigres UANL,1,1,0,10,10,4,1,5
864235,2022-08-26 00:05:00+00:00,F. Guerrero,CF Pachuca,Atlas,3,1,3,3,6,0,2,2
864236,2022-08-26 02:05:00+00:00,A. Escobedo,Club Tijuana,Santos Laguna,0,2,7,2,9,4,3,7
864184,2022-08-27 00:00:00+00:00,M. Ortíz,Puebla,FC Juarez,2,2,5,4,9,3,2,5
864185,2022-08-27 02:05:00+00:00,E. Miranda,Mazatlán,Club America,1,3,3,5,8,6,2,8
864186,2022-08-27 22:00:00+00:00,D. Quintero,Cruz Azul,Club Queretaro,2,1,4,5,9,7,2,9
864187,2022-08-28 00:05:00+00:00,F. Hernández,Tigres UANL,Necaxa,0,0,7,2,9,1,3,4
864188,2022-08-28 02:05:00+00:00,D. Montaño,Guadalajara Chivas,U.N.A.M. - Pumas,3,1,5,0,5,2,2,4
864189,2022-08-28 17:00:00+00:00,G. Pacheco,Toluca,CF Pachuca,1,4,3,5,8,8,4,12
864190,2022-08-29 00:05:00+00:00,F. Guerrero,Santos Laguna,Atletico San Luis,4,1,5,5,10,1,2,3
864191,2022-08-29 00:00:00+00:00,Ó. Macías,Leon,Atlas,4,2,5,5,10,1,1,2
